N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source
2.0,71.0,34.0,0.2681911470588236,1,Hanna2007
2.0,99.0,37.9,0.31595145118733514,0,Hanna2007
9.0,89.0,43.9,0.342850569476082,1,Hanna2007
30.0,4.0,55.4,0.36162996389891694,0,Hanna2007
30.0,3.0,69.2,0.36989039017341035,0,Hanna2007
36.0,5.0,89.1,0.3812166105499439,0,Hanna2007
8.0,94.0,111.2,0.3861537769784173,0,Hanna2007
3.0,99.0,35.6,0.2989897752808989,0,Hanna2007
3.0,95.0,41.6,0.33029875,0,Hanna2007
25.0,71.0,48.0,0.35584791666666665,0,Hanna2007
30.0,4.0,62.0,0.36731290322580645,0,Hanna2007
31.0,5.0,85.1,0.3721559341950646,0,Hanna2007
5.0,52.0,42.9,0.30060121212121216,1,Hanna2007
11.0,55.0,48.6,0.32186181069958847,1,Hanna2007
22.0,4.0,57.4,0.3398960975609756,1,Hanna2007
10.0,2.0,17.5,0.4132662857142857,1,Hanna2007
4.0,99.0,35.5,0.4730938028169015,0,Hanna2007
11.0,47.0,49.4,0.47594526315789476,1,Hanna2007
38.0,61.0,59.4,0.4684972390572391,0,Hanna2007
13.0,3.0,84.1,0.4484081807372176,1,Hanna2007
9.0,5.0,23.6,0.4389196610169491,1,Hanna2007
18.0,5.0,16.4,0.44717463414634145,1,Hanna2007
4.0,2.0,25.9,0.44902301158301156,1,Hanna2007
9.0,59.0,32.8,0.462590731707317,1,Hanna2007
4.0,99.0,38.6,0.4755036269430051,0,Hanna2007
24.0,98.0,50.5,0.47788,0,Hanna2007
9.0,99.0,13.2,0.30654393939393937,0,Hanna2007
4.0,64.0,33.7,0.4080877448071216,1,Hanna2007
5.0,89.0,43.0,0.42968930232558133,0,Hanna2007
12.0,94.0,49.4,0.4395789473684211,0,Hanna2007
12.0,96.0,60.4,0.44582682119205297,1,Hanna2007
31.0,8.0,69.5,0.44229741007194245,0,Hanna2007
44.0,9.0,78.8,0.43743878172588835,0,Hanna2007
44.0,5.0,88.5,0.43121455367231637,0,Hanna2007
4.0,99.0,14.9,0.3071952348993289,0,Hanna2007
6.0,85.0,31.2,0.4233833333333334,1,Hanna2007
4.0,95.0,38.0,0.4387431578947369,0,Hanna2007
4.0,98.0,44.6,0.448299461883408,0,Hanna2007
24.0,89.0,52.5,0.4521090476190476,1,Hanna2007
38.0,8.0,62.6,0.44830894568690094,0,Hanna2007
18.0,25.0,76.1,0.4452730617608411,1,Hanna2007
15.0,81.0,86.3,0.4404350289687139,1,Hanna2007
3.0,97.0,14.0,0.36474285714285715,0,Hanna2007
7.0,93.0,20.7,0.42277004830917875,1,Hanna2007
9.0,92.0,27.6,0.44762202898550724,1,Hanna2007
3.0,96.0,34.2,0.46171438596491227,0,Hanna2007
5.0,94.0,40.6,0.4701286699507388,0,Hanna2007
18.0,18.0,48.5,0.46708329896907214,1,Hanna2007
36.0,88.0,56.6,0.46233144876325083,0,Hanna2007
15.0,14.0,64.1,0.45931088923556945,1,Hanna2007
10.0,91.0,77.7,0.4532092792792792,1,Hanna2007
27.0,19.0,97.0,0.43816969072164946,0,Hanna2007
4.0,81.0,21.0,0.368628,1,Hanna2007
12.0,53.0,28.9,0.4100285467128028,1,Hanna2007
4.0,99.0,38.7,0.44396175710594304,0,Hanna2007
20.0,39.0,50.3,0.4475091053677933,1,Hanna2007
21.0,99.0,59.7,0.4507478894472362,1,Hanna2007
13.0,98.0,66.9,0.4496882660687593,1,Hanna2007
11.0,100.0,77.6,0.4486232989690722,0,Hanna2007
8.0,98.0,35.6,0.43664845505617983,1,Hanna2007
7.0,72.0,53.5,0.4503467289719626,1,Hanna2007
36.0,64.0,61.5,0.45403821138211387,0,Hanna2007
7.0,97.0,82.6,0.4495277239709443,0,Hanna2007
3.0,91.0,12.6,0.4174279365079366,1,Hanna2007
6.0,56.0,20.1,0.4529562189054726,1,Hanna2007
8.0,65.0,26.7,0.4729721348314607,1,Hanna2007
5.0,97.0,35.1,0.48267629629629627,0,Hanna2007
7.0,99.0,39.9,0.4862886215538848,1,Hanna2007
3.0,75.0,20.0,0.25532,0,Hanna2007
15.0,15.0,35.1,0.28580222222222224,1,Hanna2007
3.0,98.0,41.3,0.3252549636803874,0,Hanna2007
3.0,100.0,47.4,0.352769535864979,0,Hanna2007
5.0,99.0,57.0,0.37528126315789473,0,Hanna2007
14.0,80.0,64.2,0.3851725856697819,1,Hanna2007
8.0,99.0,70.8,0.39307189265536724,1,Hanna2007
9.0,99.0,77.4,0.398446976744186,0,Hanna2007
7.0,98.0,86.8,0.40404389400921664,1,Hanna2007
9.0,9.0,99.9,0.40266829829829826,1,Hanna2007
7.0,98.0,109.2,0.40159523809523806,0,Hanna2007
7.0,72.0,15.0,0.2561,0,Hanna2007
5.0,68.0,29.0,0.2669375172413793,1,Hanna2007
6.0,92.0,36.0,0.3164893333333333,1,Hanna2007
3.0,97.0,44.4,0.354536936936937,0,Hanna2007
12.0,85.0,52.6,0.3742764258555133,1,Hanna2007
18.0,51.0,61.3,0.3855002610114193,1,Hanna2007
16.0,72.0,68.2,0.39349436950146627,1,Hanna2007
14.0,42.0,76.0,0.3968147368421053,1,Hanna2007
13.0,74.0,85.3,0.3993941383352873,1,Hanna2007
11.0,100.0,93.8,0.4013673773987207,0,Hanna2007
10.0,96.0,102.6,0.40107407407407414,0,Hanna2007
27.0,90.0,121.4,0.3951400329489292,0,Hanna2007
4.0,97.0,15.8,0.408570253164557,0,Hanna2007
9.0,69.0,22.9,0.4439613537117904,1,Hanna2007
5.0,95.0,29.6,0.4623186486486487,1,Hanna2007
5.0,97.0,37.3,0.47110884718498675,0,Hanna2007
13.0,84.0,44.9,0.47020044543429845,0,Hanna2007
10.0,90.0,51.8,0.47080277992277997,1,Hanna2007
12.0,67.0,65.3,0.4629055130168454,1,Hanna2007
9.0,99.0,82.6,0.4552455205811137,0,Hanna2007
13.0,65.0,21.9,0.4845022831050229,1,Hanna2007
8.0,75.0,45.3,0.49108203090507735,1,Hanna2007
18.0,99.0,52.0,0.4891250000000001,1,Hanna2007
9.0,89.0,73.1,0.4766642954856361,1,Hanna2007
9.0,98.0,96.4,0.45469387966804975,0,Hanna2007
28.0,97.0,104.8,0.4481675572519085,0,Hanna2007
12.0,99.0,122.7,0.4322272208638957,0,Hanna2007
30.0,11.0,37.3,0.2522,0,Hanna2007
14.0,34.0,66.2,0.24635,0,Hanna2007
13.0,82.0,91.2,0.24050000000000002,0,Hanna2007
8.0,35.0,122.0,0.23426000000000002,0,Hanna2007
48.0,89.0,146.7,0.2288,0,Hanna2007
5.0,65.0,30.3,0.31730854785478546,1,Hanna2007
4.0,78.0,38.3,0.36592250652741515,0,Hanna2007
9.0,33.0,45.2,0.3843697345132744,1,Hanna2007
6.0,99.0,50.1,0.4061137724550898,0,Hanna2007
10.0,98.0,56.6,0.4177216961130742,1,Hanna2007
43.0,17.0,65.4,0.42090660550458714,0,Hanna2007
40.0,11.0,74.8,0.42528839572192517,0,Hanna2007
50.0,4.0,82.5,0.4279915151515152,0,Hanna2007
7.0,97.0,13.7,0.25649,0,Hanna2007
6.0,89.0,20.3,0.3469796059113301,1,Hanna2007
6.0,89.0,27.2,0.40142948529411765,1,Hanna2007
4.0,100.0,33.5,0.4471573134328358,0,Hanna2007
4.0,97.0,41.5,0.4622110843373495,1,Hanna2007
5.0,99.0,49.2,0.4689702439024391,0,Hanna2007
17.0,54.0,56.4,0.47230129432624113,1,Hanna2007
6.0,100.0,63.9,0.4812319248826292,0,Hanna2007
9.0,99.0,70.1,0.4855308987161199,0,Hanna2007
1.0,86.0,44.7,0.4584026845637584,0,Hanna2007
1.0,96.0,56.4,0.48437907801418445,0,Hanna2007
4.0,97.0,49.7,0.4040818511066398,0,Hanna2007
5.0,98.0,64.3,0.425824401244168,0,Hanna2007
4.0,98.0,72.3,0.4309498201936377,0,Hanna2007
10.0,78.0,96.5,0.4324251295336788,0,Hanna2007
1.0,93.0,39.7,0.40575128463476073,0,Hanna2007
13.0,100.0,68.0,0.4445330882352941,0,Hanna2007
8.0,98.0,15.0,0.2561,0,Hanna2007
9.0,98.0,27.2,0.35217286764705885,0,Hanna2007
9.0,71.0,39.0,0.39731833333333333,1,Hanna2007
8.0,97.0,47.2,0.4165825211864406,0,Hanna2007
17.0,99.0,56.5,0.42390123893805315,0,Hanna2007
9.0,100.0,69.9,0.42878054363376256,0,Hanna2007
3.0,99.0,78.6,0.42936386768447843,0,Hanna2007
5.0,95.0,87.6,0.4274640410958905,1,Hanna2007
12.0,99.0,18.2,0.25532,0,Hanna2007
4.0,77.0,35.9,0.25142,0,Hanna2007
7.0,94.0,45.2,0.28126017699115047,0,Hanna2007
7.0,68.0,52.2,0.3109370881226054,1,Hanna2007
5.0,94.0,62.7,0.3402288676236045,0,Hanna2007
10.0,99.0,69.6,0.35334149425287364,1,Hanna2007
7.0,20.0,77.3,0.361542276843467,1,Hanna2007
7.0,80.0,89.6,0.3640510714285714,1,Hanna2007
9.0,78.0,98.0,0.3680525510204082,1,Hanna2007
4.0,78.0,107.1,0.37075065359477133,1,Hanna2007
14.0,82.0,7.5,0.7678736,1,Hanna2007
5.0,98.0,14.6,0.6636446575342465,0,Hanna2007
6.0,82.0,23.4,0.6045677777777779,1,Hanna2007
21.0,65.0,34.3,0.565139941690962,1,Hanna2007
15.0,81.0,45.5,0.5379805714285714,1,Hanna2007
21.0,13.0,55.0,0.5199224727272727,1,Hanna2007
7.0,99.0,73.9,0.49191155615696885,0,Hanna2007
6.0,65.0,24.9,0.26808610441767067,1,Hanna2007
4.0,78.0,40.9,0.28942608801955994,0,Hanna2007
8.0,33.0,47.4,0.3165856540084388,1,Hanna2007
6.0,99.0,54.6,0.34236380952380946,0,Hanna2007
10.0,98.0,61.2,0.35820905228758165,1,Hanna2007
42.0,17.0,71.7,0.3676031938633194,0,Hanna2007
39.0,11.0,82.0,0.37300012195121957,0,Hanna2007
47.0,4.0,97.1,0.3714616786817714,0,Hanna2007
2.0,51.0,16.8,0.3545378571428571,1,Hanna2007
6.0,83.0,26.3,0.41771768060836506,1,Hanna2007
6.0,83.0,33.4,0.436547005988024,1,Hanna2007
5.0,94.0,40.8,0.4502193137254903,1,Hanna2007
6.0,92.0,48.9,0.4500153374233129,0,Hanna2007
14.0,9.0,55.9,0.44874302325581394,1,Hanna2007
45.0,5.0,64.5,0.44419790697674416,0,Hanna2007
39.0,8.0,75.1,0.4384557256990679,0,Hanna2007
7.0,98.0,83.5,0.43767107784431136,0,Hanna2007
3.0,51.0,16.1,0.37785751552795027,1,Hanna2007
7.0,9.0,25.1,0.4190500796812749,1,Hanna2007
6.0,98.0,32.9,0.4416238297872341,0,Hanna2007
4.0,100.0,39.6,0.4530040404040404,1,Hanna2007
6.0,100.0,49.2,0.45460365853658535,1,Hanna2007
10.0,98.0,57.6,0.4575909722222222,0,Hanna2007
13.0,97.0,64.3,0.4578822395023328,0,Hanna2007
9.0,9.0,76.4,0.449813612565445,1,Hanna2007
4.0,97.0,87.1,0.44489492537313435,0,Hanna2007
7.0,97.0,16.8,0.2682952380952381,0,Hanna2007
3.0,87.0,25.8,0.35777209302325585,1,Hanna2007
7.0,90.0,34.2,0.399312865497076,1,Hanna2007
7.0,96.0,42.5,0.4215181176470588,1,Hanna2007
4.0,100.0,50.5,0.4348049504950496,0,Hanna2007
7.0,88.0,57.6,0.4384936111111111,1,Hanna2007
5.0,98.0,65.1,0.4415149462365592,1,Hanna2007
7.0,100.0,75.8,0.44250765171503964,0,Hanna2007
32.0,20.0,88.0,0.43499654545454547,0,Hanna2007
45.0,11.0,96.3,0.4293779854620976,0,Hanna2007
5.0,95.0,8.1,0.5722728395061729,0,Hanna2007
5.0,99.0,14.5,0.5670241379310345,0,Hanna2007
5.0,91.0,24.0,0.5491904166666667,1,Hanna2007
3.0,78.0,33.7,0.5344890207715133,1,Hanna2007
16.0,92.0,42.9,0.5208030303030304,1,Hanna2007
16.0,80.0,53.6,0.5050310820895522,1,Hanna2007
38.0,41.0,67.6,0.48675961538461543,0,Hanna2007
40.0,20.0,77.8,0.47469383033419027,0,Hanna2007
34.0,24.0,86.9,0.4649275719217491,0,Hanna2007
5.0,84.0,12.5,0.4180852,1,Hanna2007
11.0,91.0,19.7,0.4563257360406092,1,Hanna2007
6.0,97.0,26.5,0.48254528301886795,1,Hanna2007
7.0,83.0,34.7,0.49091296829971176,1,Hanna2007
15.0,54.0,44.3,0.4848002257336343,1,Hanna2007
16.0,99.0,53.1,0.48166591337099807,1,Hanna2007
13.0,95.0,61.4,0.47904364820846906,1,Hanna2007
6.0,99.0,69.7,0.47499799139167853,0,Hanna2007
8.0,100.0,77.9,0.47029794608472403,1,Hanna2007
3.0,89.0,15.5,0.2561,0,Hanna2007
7.0,57.0,26.3,0.33275057034220534,1,Hanna2007
4.0,99.0,34.1,0.3822800586510264,0,Hanna2007
4.0,92.0,42.2,0.40372947867298575,1,Hanna2007
15.0,35.0,53.0,0.41474905660377365,1,Hanna2007
10.0,82.0,62.2,0.4207067524115755,1,Hanna2007
11.0,93.0,70.1,0.42656134094151216,1,Hanna2007
13.0,58.0,79.3,0.42615081967213114,1,Hanna2007
8.0,99.0,88.5,0.4241334463276836,1,Hanna2007
7.0,87.0,12.5,0.3298568,0,Hanna2007
12.0,43.0,21.1,0.4147554502369668,1,Hanna2007
3.0,57.0,30.3,0.4416953795379538,1,Hanna2007
5.0,95.0,38.7,0.4565922480620154,0,Hanna2007
11.0,91.0,48.0,0.45895416666666666,1,Hanna2007
12.0,58.0,57.6,0.45676944444444445,1,Hanna2007
10.0,93.0,66.6,0.45491801801801807,1,Hanna2007
9.0,89.0,74.1,0.4560561403508772,1,Hanna2007
7.0,100.0,80.6,0.45415999999999995,1,Hanna2007
34.0,7.0,91.7,0.44331814612868053,0,Hanna2007
11.0,89.0,17.7,0.25571,0,Hanna2007
5.0,65.0,47.0,0.3433175531914894,1,Hanna2007
6.0,97.0,55.7,0.3740027648114901,0,Hanna2007
31.0,34.0,66.7,0.3850752023988006,0,Hanna2007
9.0,84.0,79.0,0.39028797468354437,1,Hanna2007
10.0,96.0,91.0,0.39397499999999996,1,Hanna2007
29.0,32.0,106.8,0.3937855805243446,0,Hanna2007
8.0,18.0,33.6,0.1841412857142857,1,Hanna2007
8.0,98.0,51.0,0.18920092941176467,0,Hanna2007
2.0,60.0,62.6,0.1938476932907348,0,Hanna2007
10.0,98.0,75.7,0.19370068692206074,0,Hanna2007
5.0,98.0,88.2,0.19413085714285713,0,Hanna2007
5.0,99.0,96.7,0.19153674353671146,0,Hanna2007
4.0,90.0,112.9,0.18993804871567754,1,Hanna2007
13.0,13.0,160.0,0.17326310625,1,Hanna2007
18.0,16.0,170.7,0.1696102460456942,0,Hanna2007
18.0,16.0,189.0,0.163345,0,Hanna2007
6.0,76.0,13.9,0.1553962014388489,0,Hanna2007
8.0,49.0,44.2,0.20331397058823528,1,Hanna2007
5.0,99.0,53.2,0.204069992481203,0,Hanna2007
8.0,97.0,88.3,0.1991697757644394,0,Hanna2007
12.0,96.0,111.2,0.192553381294964,0,Hanna2007
9.0,80.0,120.4,0.18938257475083056,0,Hanna2007
12.0,80.0,137.7,0.18244862745098042,0,Hanna2007
12.0,85.0,152.2,0.17707980749014454,0,Hanna2007
40.0,47.0,162.4,0.17330725862068963,0,Hanna2007
6.0,44.0,18.7,0.114894,0,Hanna2007
6.0,90.0,42.7,0.11996089461358314,0,Hanna2007
6.0,97.0,55.9,0.14218430232558138,0,Hanna2007
4.0,33.0,71.0,0.15541703239436622,1,Hanna2007
9.0,90.0,83.7,0.16184524731182795,0,Hanna2007
11.0,99.0,100.1,0.16425490909090912,0,Hanna2007
11.0,91.0,111.5,0.16620191031390133,0,Hanna2007
7.0,76.0,126.3,0.16582179334916863,1,Hanna2007
8.0,98.0,140.4,0.164009,0,Hanna2007
5.0,98.0,152.8,0.16286981937172773,0,Hanna2007
13.0,74.0,165.8,0.16036437756332927,0,Hanna2007
12.0,91.0,182.5,0.15629648547945205,0,Hanna2007
25.0,22.0,194.4,0.15349533333333332,0,Hanna2007
7.0,93.0,27.9,0.12203225806451615,0,Hanna2007
6.0,90.0,61.2,0.17576592647058822,1,Hanna2007
14.0,28.0,98.6,0.18211702636916832,0,Hanna2007
14.0,98.0,114.0,0.17932087105263156,0,Hanna2007
18.0,15.0,126.1,0.17717585567010308,0,Hanna2007
17.0,18.0,142.9,0.17243343736878936,0,Hanna2007
17.0,13.0,157.9,0.16793893983533878,0,Hanna2007
10.0,75.0,174.7,0.1629311728677733,0,Hanna2007
9.0,96.0,189.5,0.15843145963060684,0,Hanna2007
6.0,85.0,13.6,0.14361749999999998,0,Hanna2007
13.0,99.0,28.2,0.1953381382978723,0,Hanna2007
11.0,99.0,42.9,0.2065221818181818,0,Hanna2007
4.0,55.0,57.0,0.208221,1,Hanna2007
7.0,56.0,66.0,0.20657369318181817,1,Hanna2007
16.0,50.0,81.3,0.2024523099630996,0,Hanna2007
11.0,98.0,113.9,0.19045884547848987,0,Hanna2007
7.0,99.0,119.9,0.1886853828190158,0,Hanna2007
10.0,88.0,132.6,0.18500382352941175,0,Hanna2007
10.0,89.0,146.6,0.17955461664392905,0,Hanna2007
16.0,12.0,162.4,0.1735815314039409,0,Hanna2007
4.0,7.0,15.9,0.14957898113207546,1,Hanna2007
6.0,99.0,31.6,0.18480001898734172,0,Hanna2007
15.0,51.0,43.4,0.1962712741935484,0,Hanna2007
13.0,99.0,68.7,0.19876034934497816,0,Hanna2007
8.0,84.0,84.6,0.19674974468085107,0,Hanna2007
7.0,68.0,114.6,0.18770863350785338,1,Hanna2007
10.0,59.0,126.4,0.18477280537974683,1,Hanna2007
12.0,11.0,141.2,0.18018248583569405,1,Hanna2007
8.0,91.0,158.5,0.17408529652996843,0,Hanna2007
13.0,98.0,172.0,0.16932811395348837,0,Hanna2007
8.0,100.0,184.5,0.16520831219512191,0,Hanna2007
6.0,8.0,17.0,0.114894,0,Hanna2007
8.0,95.0,34.6,0.14707238150289015,0,Hanna2007
8.0,65.0,53.7,0.17352276536312847,0,Hanna2007
14.0,14.0,63.7,0.178381193877551,0,Hanna2007
15.0,23.0,77.0,0.17741880000000002,0,Hanna2007
6.0,98.0,96.4,0.17637385892116178,0,Hanna2007
8.0,97.0,105.9,0.1771429716713881,0,Hanna2007
10.0,29.0,119.7,0.1760106165413534,1,Hanna2007
18.0,6.0,140.6,0.17177780227596018,0,Hanna2007
20.0,14.0,149.3,0.16937054789015404,0,Hanna2007
18.0,6.0,176.2,0.16170462429057886,0,Hanna2007
15.0,90.0,201.6,0.15421157142857142,0,Hanna2007
13.0,43.0,20.5,0.114894,0,Hanna2007
7.0,73.0,45.2,0.12423691592920354,0,Hanna2007
9.0,54.0,58.3,0.1446049759862779,0,Hanna2007
10.0,94.0,75.0,0.155673804,0,Hanna2007
9.0,98.0,86.5,0.1622769710982659,0,Hanna2007
3.0,99.0,100.3,0.16615493120638083,0,Hanna2007
8.0,98.0,112.7,0.16724604968944096,0,Hanna2007
7.0,64.0,125.9,0.16757234392374898,1,Hanna2007
11.0,17.0,140.6,0.16517720483641535,1,Hanna2007
14.0,17.0,156.6,0.16228901149425287,0,Hanna2007
30.0,20.0,172.0,0.15880627674418604,0,Hanna2007
16.0,14.0,193.3,0.15319851681324367,0,Hanna2007
13.0,10.0,209.2,0.14932600382409178,0,Hanna2007
12.0,96.0,25.9,0.19734060231660233,0,Hanna2007
7.0,96.0,37.0,0.20829509999999998,0,Hanna2007
6.0,98.0,62.7,0.20889444976076554,0,Hanna2007
13.0,99.0,78.2,0.20337173401534522,0,Hanna2007
14.0,97.0,89.9,0.2007333470522803,0,Hanna2007
15.0,13.0,103.2,0.19696734593023252,1,Hanna2007
12.0,91.0,133.8,0.184501130044843,0,Hanna2007
14.0,91.0,164.4,0.1727218193430657,0,Hanna2007
13.0,60.0,178.2,0.16768319191919193,0,Hanna2007
4.0,99.0,59.3,0.1495613170320405,1,Hanna2007
6.0,54.0,73.0,0.16125581095890412,1,Hanna2007
14.0,9.0,86.4,0.16608854166666667,1,Hanna2007
7.0,96.0,104.3,0.16650120805369129,0,Hanna2007
15.0,34.0,116.6,0.16751640566037737,0,Hanna2007
25.0,7.0,147.6,0.16363734146341463,0,Hanna2007
26.0,20.0,166.5,0.1596918594594595,0,Hanna2007
17.0,10.0,184.1,0.1555850874524715,0,Hanna2007
21.0,6.0,203.3,0.1511469075258239,0,Hanna2007
10.0,29.0,220.2,0.14712500272479562,0,Hanna2007
7.0,59.0,25.7,0.16024356420233463,1,Hanna2007
10.0,17.0,40.0,0.1834252875,1,Hanna2007
9.0,61.0,53.4,0.18908251685393254,1,Hanna2007
10.0,15.0,68.1,0.19130960352422907,1,Hanna2007
16.0,15.0,83.9,0.1877292193087008,1,Hanna2007
13.0,98.0,101.6,0.18359061909448818,0,Hanna2007
20.0,20.0,113.1,0.1826383448275862,0,Hanna2007
25.0,7.0,129.3,0.17847051508120648,0,Hanna2007
19.0,18.0,146.6,0.1727894467939973,0,Hanna2007
24.0,18.0,163.8,0.16785999999999995,0,Hanna2007
21.0,10.0,181.4,0.16242928114663724,0,Hanna2007
16.0,98.0,201.0,0.15656043582089552,0,Hanna2007
7.0,85.0,17.7,0.114894,0,Hanna2007
6.0,30.0,38.6,0.12631453367875647,1,Hanna2007
5.0,90.0,51.8,0.1489938532818533,1,Hanna2007
6.0,99.0,74.1,0.16759515789473686,1,Hanna2007
7.0,94.0,92.6,0.17141687688984883,1,Hanna2007
