N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
9.0,99.0,89.0,0.41846561797752807,1,Hanna2007,1.2039721971595065
10.0,28.0,43.2,0.38706657407407413,1,Hanna2007,0.1133930566912351
4.0,88.0,49.8,0.4024612048192771,1,Hanna2007,1.3365829675437106
24.0,97.0,57.7,0.41219124783362215,0,Hanna2007,0.3816206915490283
12.0,83.0,68.5,0.41823467153284666,1,Hanna2007,0.19463274217530088
6.0,98.0,76.5,0.4223632026143791,0,Hanna2007,1.3273102692169054
23.0,75.0,97.3,0.41552409044193217,1,Hanna2007,0.6443788581232923
4.0,99.0,14.3,0.42541999999999996,0,Hanna2007,1.581719448847429
2.0,99.0,22.2,0.4719257657657657,0,Hanna2007,1.541397669655512
3.0,99.0,30.9,0.4903082524271845,0,Hanna2007,1.490039425854843
7.0,51.0,39.3,0.48753374045801534,1,Hanna2007,0.01601975430737521
1.0,96.0,26.7,0.48172059925093624,0,Hanna2007,1.492815215753066
5.0,100.0,44.2,0.49325764705882347,0,Hanna2007,1.4193732041040539
55.0,99.0,51.7,0.4910479690522244,0,Hanna2007,2.053847301564317
44.0,4.0,63.4,0.47347476340694017,0,Hanna2007,1.439166095300173
3.0,94.0,14.7,0.2630687074829932,1,Hanna2007,1.5443616689971598
1.0,87.0,21.5,0.3518186976744186,1,Hanna2007,1.4462988883740622
16.0,99.0,26.9,0.3935157992565056,0,Hanna2007,0.4441858278998993
6.0,84.0,14.7,0.2630687074829932,1,Hanna2007,0.348503636040744
4.0,72.0,22.2,0.3538535585585586,1,Hanna2007,0.1752235711085269
4.0,99.0,30.9,0.38247177993527504,0,Hanna2007,1.4864058183140119
7.0,99.0,36.9,0.40384658536585366,0,Hanna2007,1.398028723627163
1.0,81.0,21.6,0.25571,0,Hanna2007,0.36529916068653406
2.0,71.0,34.0,0.2681911470588236,1,Hanna2007,0.08852864934533566
2.0,99.0,37.9,0.31595145118733514,0,Hanna2007,1.4537434412582213
9.0,89.0,43.9,0.342850569476082,1,Hanna2007,0.27835730811613085
30.0,4.0,55.4,0.36162996389891694,0,Hanna2007,0.8767719152076601
30.0,3.0,69.2,0.36989039017341035,0,Hanna2007,0.8229669887096733
36.0,5.0,89.1,0.3812166105499439,0,Hanna2007,1.2396994701850537
8.0,94.0,111.2,0.3861537769784173,0,Hanna2007,1.1741721454608993
3.0,99.0,35.6,0.2989897752808989,0,Hanna2007,1.464142847932178
3.0,95.0,41.6,0.33029875,0,Hanna2007,1.4053008592080227
25.0,71.0,48.0,0.35584791666666665,0,Hanna2007,0.38917804223297026
30.0,4.0,62.0,0.36731290322580645,0,Hanna2007,0.8526823246834859
31.0,5.0,85.1,0.3721559341950646,0,Hanna2007,0.8600556691116965
5.0,52.0,42.9,0.30060121212121216,1,Hanna2007,
11.0,55.0,48.6,0.32186181069958847,1,Hanna2007,0.1187652338249117
22.0,4.0,57.4,0.3398960975609756,1,Hanna2007,0.28399288878305035
10.0,2.0,17.5,0.4132662857142857,1,Hanna2007,0.06490805192521659
4.0,99.0,35.5,0.4730938028169015,0,Hanna2007,1.4606494006480748
11.0,47.0,49.4,0.47594526315789476,1,Hanna2007,0.134935521671808
38.0,61.0,59.4,0.4684972390572391,0,Hanna2007,1.3708766393771468
13.0,3.0,84.1,0.4484081807372176,1,Hanna2007,0.27090551500385857
9.0,5.0,23.6,0.4389196610169491,1,Hanna2007,0.05320534436065642
18.0,5.0,16.4,0.44717463414634145,1,Hanna2007,
4.0,2.0,25.9,0.44902301158301156,1,Hanna2007,0.11286968852431303
9.0,59.0,32.8,0.462590731707317,1,Hanna2007,0.08924430984516082
4.0,99.0,38.6,0.4755036269430051,0,Hanna2007,1.4448839683740928
24.0,98.0,50.5,0.47788,0,Hanna2007,0.3693088672931182
9.0,99.0,13.2,0.30654393939393937,0,Hanna2007,1.2650304430976302
4.0,64.0,33.7,0.4080877448071216,1,Hanna2007,0.0377903913138679
5.0,89.0,43.0,0.42968930232558133,0,Hanna2007,1.3473817209339185
12.0,94.0,49.4,0.4395789473684211,0,Hanna2007,0.310195104602593
12.0,96.0,60.4,0.44582682119205297,1,Hanna2007,0.3199355812641187
31.0,8.0,69.5,0.44229741007194245,0,Hanna2007,0.9148900837151784
44.0,9.0,78.8,0.43743878172588835,0,Hanna2007,1.442653255430788
44.0,5.0,88.5,0.43121455367231637,0,Hanna2007,1.4611454816865235
4.0,99.0,14.9,0.3071952348993289,0,Hanna2007,1.578325759827188
6.0,85.0,31.2,0.4233833333333334,1,Hanna2007,0.2873967398707566
4.0,95.0,38.0,0.4387431578947369,0,Hanna2007,1.4167072727022778
4.0,98.0,44.6,0.448299461883408,0,Hanna2007,1.4149282383558075
24.0,89.0,52.5,0.4521090476190476,1,Hanna2007,0.3633740843700719
38.0,8.0,62.6,0.44830894568690094,0,Hanna2007,1.2846110577782557
18.0,25.0,76.1,0.4452730617608411,1,Hanna2007,0.39756023556696757
15.0,81.0,86.3,0.4404350289687139,1,Hanna2007,0.31286966128055765
3.0,97.0,14.0,0.36474285714285715,0,Hanna2007,1.5711665453387085
7.0,93.0,20.7,0.42277004830917875,1,Hanna2007,1.4293519655954556
9.0,92.0,27.6,0.44762202898550724,1,Hanna2007,0.38521229025552023
3.0,96.0,34.2,0.46171438596491227,0,Hanna2007,1.447457876438889
5.0,94.0,40.6,0.4701286699507388,0,Hanna2007,1.3894625519179156
18.0,18.0,48.5,0.46708329896907214,1,Hanna2007,0.265295769962637
36.0,88.0,56.6,0.46233144876325083,0,Hanna2007,1.3659487862550184
15.0,14.0,64.1,0.45931088923556945,1,Hanna2007,0.2782334728050259
10.0,91.0,77.7,0.4532092792792792,1,Hanna2007,0.268663741473096
27.0,19.0,97.0,0.43816969072164946,0,Hanna2007,0.6497454937923802
4.0,81.0,21.0,0.368628,1,Hanna2007,0.2877124219469525
12.0,53.0,28.9,0.4100285467128028,1,Hanna2007,0.15642580990072308
4.0,99.0,38.7,0.44396175710594304,0,Hanna2007,1.4444105969333598
20.0,39.0,50.3,0.4475091053677933,1,Hanna2007,0.38989740218229546
21.0,99.0,59.7,0.4507478894472362,1,Hanna2007,0.36212591624245316
13.0,98.0,66.9,0.4496882660687593,1,Hanna2007,0.35519873514430245
11.0,100.0,77.6,0.4486232989690722,0,Hanna2007,1.1143043006906372
8.0,98.0,35.6,0.43664845505617983,1,Hanna2007,1.3631712091412795
7.0,72.0,53.5,0.4503467289719626,1,Hanna2007,
36.0,64.0,61.5,0.45403821138211387,0,Hanna2007,1.2819784858567982
7.0,97.0,82.6,0.4495277239709443,0,Hanna2007,1.2804037950986236
3.0,91.0,12.6,0.4174279365079366,1,Hanna2007,1.5332351532642503
6.0,56.0,20.1,0.4529562189054726,1,Hanna2007,0.05132857659265841
8.0,65.0,26.7,0.4729721348314607,1,Hanna2007,0.12167408402596086
