No,Site,Boring,Class,Liquefied,N60,Depth_m,FC_pct,GWT_m,PGA_g,sigma_v_prime_t_m2,sigma_v_t_m2,Mw_or_extra
252,Yuanlin Jen,NO.4,Liq2,1,8.8,10.0,20.0,1.1,0.211,7.6,9.1,16.8
253,Yuanlin Jen,NO.5,Liq1,1,1.3,4.0,29.0,0.9,0.211,7.6,2.0,2.3
254,Yuanlin Jen,NO.5,Liq2,1,2.8,3.0,57.0,0.9,0.211,7.6,3.2,5.1
255,Yuanlin Jen,NO.6,Liq1,1,1.3,3.0,48.0,0.6,0.211,7.6,1.6,2.3
256,Yuanlin Jen,NO.6,Liq2,1,2.8,3.0,69.0,0.6,0.211,7.6,2.8,5.0
257,Yuanlin Jen,NO.7,Liq1,1,2.8,6.0,45.0,0.6,0.211,7.6,3.1,5.2
258,Yuanlin Jen,NO.7,Liq2,1,11.8,7.0,48.0,0.6,0.211,7.6,10.5,21.7
259,Yuanlin Jen,NO.8,Liq1,1,4.3,6.0,79.0,0.6,0.211,7.6,4.2,7.9
260,Yuanlin Jen,NO.8,Liq2,1,5.8,4.0,85.0,0.6,0.211,7.6,5.4,10.6
261,Yuanlin Jen,NO.9,Liq1,1,5.8,3.0,57.0,1.0,0.211,7.6,5.7,10.5
262,Yuanlin Jen,NO.10,Liq1,1,11.8,12.0,13.0,0.6,0.211,7.6,10.8,22.0
263,Yuanlin Jen,NO.10,Liq2,1,14.8,8.0,64.0,0.6,0.211,7.6,13.7,27.9
264,Yuanlin Jen,NO.11,Liq1,1,2.8,4.0,84.0,1.1,0.211,7.6,3.6,5.3
265,Yuanlin Jen,NO.11,Liq2,1,4.3,4.0,32.0,1.1,0.211,7.6,4.8,8.0
266,Yuanlin Jen,NO.12,Liq1,1,1.3,2.0,72.0,1.1,0.211,7.6,2.2,2.3
267,Yuanlin Jen,NO.12,Liq2,1,5.8,7.0,11.0,1.1,0.211,7.6,5.9,10.6
268,Yuanlin Jen,NO.13,Liq1,1,4.3,7.0,22.0,2.1,0.211,7.6,6.3,8.5
269,Yuanlin Jen,NO.13,Liq2,1,8.8,6.0,80.0,2.1,0.211,7.6,10.4,17.0
270,Yuanlin Jen,NO.13,Liq3,1,2.8,6.0,56.0,2.1,0.211,7.6,4.8,5.5
271,Beigang Jen,B1,nonliq,0,4.8,9.0,13.0,4.0,0.084,7.6,7.6,8.4
272,Beigang Jen,B1,nonliq,0,6.2,1.0,42.0,4.0,0.084,7.6,9.0,11.2
273,Beigang Jen,B1,nonliq,0,7.8,4.0,24.0,4.0,0.084,7.6,10.3,14.1
274,Beigang Jen,B1,nonliq,0,9.8,3.0,28.0,4.0,0.084,7.6,12.0,17.8
275,Beigang Jen,B1,nonliq,0,11.3,13.0,18.0,4.0,0.084,7.6,13.5,20.8
276,Beigang Jen,B1,nonliq,0,12.8,5.0,9.0,4.0,0.084,7.6,15.0,23.7
277,Beigang Jen,B1,nonliq,0,14.8,7.0,17.0,4.0,0.084,7.6,16.9,27.6
278,Beigang Jen,B1,nonliq,0,15.8,10.0,22.0,4.0,0.084,7.6,17.8,29.6
279,Beigang Jen,B1,nonliq,0,16.8,17.0,25.0,4.0,0.084,7.6,18.8,31.6
280,Beigang Jen,B1,nonliq,0,17.8,12.0,13.0,4.0,0.084,7.6,19.8,33.6
281,Beigang Jen,B1,nonliq,0,18.8,10.0,26.0,4.0,0.084,7.6,20.8,35.5
282,Beigang Jen,B2,nonliq,0,4.8,11.0,13.0,4.0,0.084,7.6,7.0,7.8
283,Beigang Jen,B2,nonliq,0,6.8,1.0,91.0,4.0,0.084,7.6,8.9,11.7
284,Beigang Jen,B2,nonliq,0,8.8,3.0,23.0,4.0,0.084,7.6,10.6,15.4
286,Beigang Jen,B2,nonliq,0,11.8,12.0,29.0,4.0,0.084,7.6,13.4,21.1
287,Beigang Jen,B2,nonliq,0,14.2,6.0,44.0,4.0,0.084,7.6,15.6,25.9
288,Beigang Jen,B2,nonliq,0,14.8,4.0,39.0,4.0,0.084,7.6,16.1,26.9
289,Beigang Jen,B2,nonliq,0,15.8,6.0,61.0,4.0,0.084,7.6,16.9,28.6
290,Beigang Jen,B2,nonliq,0,16.8,11.0,20.0,4.0,0.084,7.6,17.7,30.5
291,Beigang Jen,B2,nonliq,0,17.8,14.0,14.0,4.0,0.084,7.6,18.7,32.4
292,Beigang Jen,B2,nonliq,0,18.8,16.0,36.0,4.0,0.084,7.6,19.6,34.4
