Location,"Lat,Long",Borehole ,Depth(ft),Depth-Z(m),GWT(m),N-06,N-12,N-18,N -Value,σv,σv',CE,CB,CS,CR,CN,(N1)60,Soil Type ,Soil USCS,FC,FCI,rd,CSR7.5,CRR,Rp,a(max),g,Mw,MSF,SL,γ,γw
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,10.0,3.048,1.5,3.0,5.0,6.0,11.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,8.3822069547915,,,,,0.95428,0.3087649967609352,0.3313230449935296,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,15.0,4.572,1.5,5.0,10.0,12.0,22.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,14.621652528176844,,,,,0.93142,0.3438786594334934,0.524515962861914,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,20.0,6.096,1.5,8.0,14.0,16.0,30.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,21.26871594103796,,,,,0.90856,0.3608919997995087,0.7374219800510352,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,25.0,7.62,1.5,11.0,16.0,20.0,36.0,137.16,77.12279999999998,0.6,1.0,1.0,0.95,1.1386981254861857,23.366085534976524,,,,,0.8857,0.368593090603557,0.8063229487271335,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,30.0,9.144,1.5,14.0,23.0,27.0,50.0,164.592,89.60436000000001,0.6,1.0,1.0,0.95,1.0564171157176023,30.107887797951665,,,,,0.86284,0.370873418877385,1.034077698378206,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,35.0,10.668,1.5,18.0,25.0,27.0,52.0,192.02400000000003,102.08592000000002,0.6,1.0,1.0,0.95,0.989730779407201,29.335620301629437,,,,,0.83998,0.3697212971943633,1.0074753048346177,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,40.0,12.192,1.5,20.0,26.0,30.0,56.0,219.456,114.56748,0.6,1.0,1.0,0.95,0.9342633658704876,29.82168663858596,,,,,0.8171200000000001,0.3662585708656592,1.0242027376968048,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,45.0,13.716,1.5,22.0,27.0,31.0,58.0,246.88800000000003,127.04904000000002,0.6,1.0,1.0,0.95,0.8871852363264341,29.330343912951907,,,,,0.79426,0.3611662356041414,1.0072940233373011,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,50.0,15.24,1.5,27.0,31.0,32.0,63.0,274.32,139.5306,0.6,1.0,1.0,0.95,0.8465746683009155,30.400496338685876,,,,,0.7714,0.3548816161616161,1.044193537187219,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,5.0,1.524,1.5,2.0,2.0,3.0,5.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,4.08,,,,,0.97714,0.230630184417441,0.20129062912,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,10.0,3.048,1.5,4.0,6.0,8.0,14.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,10.668263397007363,,,,,0.95428,0.3087649967609352,0.4014292600760392,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,15.0,4.572,1.5,5.0,11.0,13.0,24.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,15.95089366710201,,,,,0.93142,0.3438786594334934,0.5664667948700235,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,20.0,6.096,1.5,8.0,17.0,20.0,37.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,26.23141632728015,,,,,0.90856,0.3608919997995087,0.9019097480714664,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,25.0,7.62,1.5,9.0,18.0,21.0,39.0,137.16,77.12279999999998,0.6,1.0,1.0,0.95,1.1386981254861857,25.313259329557905,,,,,0.8857,0.368593090603557,0.8710916391590678,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,2,30.0,9.144,1.5,10.0,20.0,30.0,50.0,164.592,89.60436000000001,0.6,1.0,1.0,0.95,1.0564171157176023,30.107887797951665,,,,,0.86284,0.370873418877385,1.034077698378206,,3.5316,9.81,7.5,1.0,,18.0,9.81
